channel_id_x,fusion_embedding_index,cluster_id,community_id
UC--BMyA2X4a9PGAo3lTuopg,0,8,0
UC--GZLHZwoIliUr0htoD3DQ,1,6,1
UC--LAVm36WiCmqQbekV17qQ,2,6,2
UC--i2rV5NCxiEIPefr3l-zQ,3,0,3
UC--s1NDurpgJxJFJ_xGDIIQ,4,6,4
UC-08pGGJXI4YGI-zzvAdneA,5,4,5
UC-0CzRZeML8zw4pFTVDq65Q,6,6,10
UC-0D1RlSzcvBoODCKSoLl2g,7,6,0
UC-0Urs9tifl-7DDE1RLbBHQ,8,5,10
UC-0rc6xMif7jpVLW4Gl6xYw,9,4,7
UC-1-YBAzVW57Oy1HqbO3yYA,10,5,2
UC-10uJUkzxSXa9sEtV67YcA,11,6,2
UC-1J4M8x5B9d5l7_iiq1eGg,12,5,1
UC-1eZ9zR6PhB2PMbmh1KT-Q,13,4,2
UC-1rx8j9Ggp8mp4uD0ZdEIA,14,0,8
UC-1uOaDQMatomBeqTUIafIg,15,8,5
UC-27_Szq7BtHDoC0R2U0zxA,16,4,9
UC-2KSeUU5SMCX6XLRD-AEvw,17,4,7
UC-2MJlKSq9_pYk5-bdvMhnw,18,0,3
UC-2RdmOxUZLZFVPRe6oQ1oQ,19,4,2
UC-2Y8dQb0S6DtpxNgAKoJKA,20,4,8
UC-2pbnb1e-sEX7bDDwmEM_A,21,5,16
UC-2wnBgTMRwgwkAkHq4V2rg,22,4,8
UC-3J5xNrAbTLbU1gN8mMpOA,23,5,2
UC-3Oc4KY7pElZMbsWtm3X6A,24,0,4
UC-3SbfTPJsL8fJAPKiVqBLg,25,4,7
UC-3fLOkTRb7-tepOqxsDdDg,26,8,0
UC-3jIAlnQmbbVMV6gR7K8aQ,27,4,11
UC-46hTnlyW3aCwjHs2acDzg,28,4,8
UC-4NAdFIP6h9BmtGUFL94Pg,29,7,12
UC-4RfmtfwHJ3C3VwNSmZOLA,30,6,4
UC-4h1XQ47sf0vbFwJvuBhEA,31,0,3
UC-4mIX9ls8ROVk9ApfeYf5w,32,4,7
UC-59s1w6gpuuv8Eu_kBb54A,33,5,14
UC-5Yj4HIiruwkzFuLflxL_w,34,0,5
UC-5zFN-bs6fB_MBRBtAlg4Q,35,5,7
UC-6CA78zz_ZBl1vvJs5cWlw,36,5,10
UC-6IBBRvajxnXCRL4BQf0IQ,37,6,4
UC-6OW5aJYBFM33zXQlBKPNA,38,4,3
UC-6czyMkxDi8E8akPl0c7_w,39,4,12
UC-6mynVWHtw8iX_-EWj1JGA,40,7,12
UC-6tHv5d9mB5kt1m19eVXHg,41,6,1
UC-716wgP94vhil91RVJwaIQ,42,5,10
UC-71RgMcyS02ObeFXg81SAw,43,6,1
UC-7BJPPk_oQGTED1XQA_DTw,44,6,1
UC-7Bf0NZIDNO9GGnP8-y0aA,45,6,4
UC-7zUEw8ee6e2W1_zh-AHBA,46,0,14
UC-8FGXtefJ2ZX6hkiWWB79w,47,8,0
UC-8KVa-TUe6LtfPFICAXyFA,48,4,3
UC-8Q-hLdECwQmaWNwXitYDw,49,5,14
UC-9C9d1qDDzA2jdH53vSIuA,50,6,9
UC-9GZ7QHKOmLS0APnfz2g1Q,51,6,2
UC-9b7aDP6ZN0coj9-xFnrtw,52,5,7
UC-AM7PeaHHHD4xyzQlJVzKQ,53,4,10
UC-ASDT9n-sUPwA7uUPN0OoQ,54,4,3
UC-B06UJxJ20HYv15lzrm9mA,55,5,14
UC-B2LyEZcl3avG0coKeohGQ,56,4,12
UC-BlDCX__nCLs_ZF9meYQbw,57,4,2
UC-CSyyi47VX1lD9zyeABW3w,58,1,16
UC-Ckg9_YF1DIc68jobZV_ng,59,7,12
UC-DJdb6x-T-3xA2AB78innA,60,4,15
UC-DQKF5d9LLVrRDnDmAkNSA,61,6,5
UC-DTQ7A7qD4_twroBMYpX6g,62,0,4
UC-DUrA-h7-s_C57ECJ1BFPA,63,7,12
UC-Diq5SjWZDol8C0_E_1Y7A,64,4,1
UC-DuRqsBQOEk_5o1q4Ze-Fg,65,4,7
UC-E5mr-VPLe3bO725QjqGnw,66,4,3
UC-Eed1JfWoZAzaFbUb2orNg,67,5,14
UC-Eh1lR_tWVtv9AvxLybMtQ,68,6,2
