channel_id_x,fusion_embedding_index
UC--BMyA2X4a9PGAo3lTuopg,0
UC--GZLHZwoIliUr0htoD3DQ,1
UC--LAVm36WiCmqQbekV17qQ,2
UC--i2rV5NCxiEIPefr3l-zQ,3
UC--s1NDurpgJxJFJ_xGDIIQ,4
UC-08pGGJXI4YGI-zzvAdneA,5
UC-0CzRZeML8zw4pFTVDq65Q,6
UC-0D1RlSzcvBoODCKSoLl2g,7
UC-0Urs9tifl-7DDE1RLbBHQ,8
UC-0rc6xMif7jpVLW4Gl6xYw,9
UC-1-YBAzVW57Oy1HqbO3yYA,10
UC-10uJUkzxSXa9sEtV67YcA,11
UC-1J4M8x5B9d5l7_iiq1eGg,12
UC-1eZ9zR6PhB2PMbmh1KT-Q,13
UC-1rx8j9Ggp8mp4uD0ZdEIA,14
UC-1uOaDQMatomBeqTUIafIg,15
UC-27_Szq7BtHDoC0R2U0zxA,16
UC-2KSeUU5SMCX6XLRD-AEvw,17
UC-2MJlKSq9_pYk5-bdvMhnw,18
UC-2RdmOxUZLZFVPRe6oQ1oQ,19
UC-2Y8dQb0S6DtpxNgAKoJKA,20
UC-2pbnb1e-sEX7bDDwmEM_A,21
UC-2wnBgTMRwgwkAkHq4V2rg,22
UC-3J5xNrAbTLbU1gN8mMpOA,23
UC-3Oc4KY7pElZMbsWtm3X6A,24
UC-3SbfTPJsL8fJAPKiVqBLg,25
UC-3fLOkTRb7-tepOqxsDdDg,26
UC-3jIAlnQmbbVMV6gR7K8aQ,27
UC-46hTnlyW3aCwjHs2acDzg,28
UC-4NAdFIP6h9BmtGUFL94Pg,29
UC-4RfmtfwHJ3C3VwNSmZOLA,30
UC-4h1XQ47sf0vbFwJvuBhEA,31
UC-4mIX9ls8ROVk9ApfeYf5w,32
UC-59s1w6gpuuv8Eu_kBb54A,33
UC-5Yj4HIiruwkzFuLflxL_w,34
UC-5zFN-bs6fB_MBRBtAlg4Q,35
UC-6CA78zz_ZBl1vvJs5cWlw,36
UC-6IBBRvajxnXCRL4BQf0IQ,37
UC-6OW5aJYBFM33zXQlBKPNA,38
UC-6czyMkxDi8E8akPl0c7_w,39
UC-6mynVWHtw8iX_-EWj1JGA,40
UC-6tHv5d9mB5kt1m19eVXHg,41
UC-716wgP94vhil91RVJwaIQ,42
UC-71RgMcyS02ObeFXg81SAw,43
UC-7BJPPk_oQGTED1XQA_DTw,44
UC-7Bf0NZIDNO9GGnP8-y0aA,45
UC-7zUEw8ee6e2W1_zh-AHBA,46
UC-8FGXtefJ2ZX6hkiWWB79w,47
UC-8KVa-TUe6LtfPFICAXyFA,48
UC-8Q-hLdECwQmaWNwXitYDw,49
UC-9C9d1qDDzA2jdH53vSIuA,50
UC-9GZ7QHKOmLS0APnfz2g1Q,51
UC-9b7aDP6ZN0coj9-xFnrtw,52
UC-AM7PeaHHHD4xyzQlJVzKQ,53
UC-ASDT9n-sUPwA7uUPN0OoQ,54
UC-B06UJxJ20HYv15lzrm9mA,55
UC-B2LyEZcl3avG0coKeohGQ,56
UC-BlDCX__nCLs_ZF9meYQbw,57
UC-CSyyi47VX1lD9zyeABW3w,58
UC-Ckg9_YF1DIc68jobZV_ng,59
UC-DJdb6x-T-3xA2AB78innA,60
UC-DQKF5d9LLVrRDnDmAkNSA,61
UC-DTQ7A7qD4_twroBMYpX6g,62
UC-DUrA-h7-s_C57ECJ1BFPA,63
UC-Diq5SjWZDol8C0_E_1Y7A,64
UC-DuRqsBQOEk_5o1q4Ze-Fg,65
UC-E5mr-VPLe3bO725QjqGnw,66
UC-Eed1JfWoZAzaFbUb2orNg,67
UC-Eh1lR_tWVtv9AvxLybMtQ,68
UC-EnprmCZ3OXyAoG7vjVNCA,69
UC-F6LZSWz34xKknY8NNCzgQ,70
UC-FCbpK3Aaga0gPqc429Xhg,71
UC-FQUIVQ-bZiefzBiQAa8Fw,72
UC-FagGSZFqGLR07ol8uyB3g,73
UC-GAhNmY6bkuuRPUSaRI_oQ,74
UC-GJbheknHZhSM7-Jgn63jg,75
UC-Gm4EN7nNNR3k67J8ywF4g,76
UC-HQ0-wMVBw3ncUcAZ1meOw,77
UC-Hm8vtPdB9DDVFEOJMwBzg,78
UC-J-KZfRV8c13fOCkhXdLiQ,79
UC-JAYs887GcRROe_z9Kj2sQ,80
UC-JFyL0zDFOsPMpuWu39rPA,81
UC-JKownHqF5YE8QrOHggOcg,82
UC-JxnZY4o_Cpq3LIAPkFwMw,83
UC-K6srur40093vzGF2cfcjw,84
UC-KM4Su6AEkUNea4TnYbBBg,85
UC-KQIG4-dyR1kIHCQFOJ-hQ,86
UC-KTRBl9_6AX10-Y7IKwKdw,87
UC-KX3q7zIz7s2rjooBfl6Nw,88
UC-KiGOO_09r_0J9vAjBLTBg,89
UC-KrJWxMSMVBbmmpNLhSBdw,90
UC-Kuxa0Oix1UxtYSe_WycCA,91
UC-LAKZaLMI3Rspav1lEDYFw,92
UC-LDP1u2fgZnyNpIh8SqQAw,93
UC-LMH_3ddjbIQWWmc_V7yLg,94
UC-LOdiPoxninevJ0DkleCLg,95
UC-LPIU24bQXVljUXivKEeRQ,96
UC-LRORSJOy5cOBd5TVVQ6Fw,97
UC-LUjxkSJCxAMrZ4S0T3Drg,98
UC-Lq6oBPTgTXT_K-ylWL6hg,99
UC-LqvZMkzlQIT2Wy6LyE1_A,100
UC-M9eLhclbe16sDaxLzc0ng,101
UC-MAScbt4_ypdKT2EUsiYlg,102
UC-Mn08oyWWvjNELc2J84kkQ,103
UC-N4b49LAlPDBZ5A5-2Ci8A,104
UC-NINtNMPM75eaqh07RCy_Q,105
UC-NfY72l3Tn-c2qg0iHDUlQ,106
UC-NlyhOdTK4C30NhptvD7UA,107
UC-NzI_LGwIfIgDFje5FDsPg,108
UC-O9o5coq8iFSVthivq__tw,109
UC-OLtNyC2j8EIKeSn-7ByLQ,110
UC-OO324clObi3H-U0bP77dw,111
UC-OfPFc1p-FclPQc2nXg1FA,112
UC-PN1tfiDcx__zvW5ja9ZOw,113
UC-PrBbBlScO9CmH_51fXqhQ,114
UC-QZWTOtdsm6CNPHUR88irA,115
UC-RKpEc4eE9PwJaupN91xYQ,116
UC-Rs5yl8q5pEE5KqYJ4RZ4Q,117
UC-Rx9HRmDoc5YmtcPOopmrA,118
UC-SJ6nODDmufqBzPBwCvYvQ,119
UC-SQpatMUyttygyX3qVWXYw,120
UC-SV8-bUJfXjrRMnp7F8Wzw,121
UC-SgrUhzMPuSHZMu_EUX1Yw,122
UC-Shc38nmBnY5FiUrgvggSw,123
UC-SrCCzkGq0wmSAuRs7EBFg,124
UC-TFz4MD1ZzcY6NuZAP3Ndw,125
UC-T_EdQ6MTufAWnFXa7dnYw,126
UC-UXMS9Q-apozW8jALP5UZw,127
UC-UXd3xaj1I_yTvufcMdDAA,128
UC-Uh0-0dEQV8a-SPrx50zmw,129
