year,cluster_id,video_count,view_count
2006,8,10,7314963
2007,3,8,6067318666
2007,8,3,2204696
2008,8,15,88404352
2009,1,23,2911777875
2009,3,4,95691475
2009,8,76,1233730478
2010,1,7,697032420
2010,3,2,488003403
2010,8,31,368134334
2011,1,5,38367955
2011,3,3,4176472291
2011,7,1,572780
2011,8,99,618632231
2012,1,5,16656991
2012,3,1,100019
2012,7,1,320185
2012,8,194,1722557633
2013,1,6,226345282
2013,3,1,4252098
2013,6,1,163227
2013,8,322,1880204278
2014,1,50,3303141152
2014,3,3,1745763497
2014,7,2,73719029
2014,8,524,2784858899
2015,1,38,3506485585
2015,3,9,2279122897
2015,7,6,309170421
2015,8,751,2182018881
2016,1,29,2292866828
2016,5,6,16524450
2016,6,1,0
2016,7,12,8122219
2016,8,1188,3268323845
2017,1,74,3729545539
2017,3,3,0
2017,5,9,143837817
2017,6,2,66619
2017,7,47,207811686
2017,8,1952,5577757148
2018,1,53,3487497529
2018,3,10,7819467591
2018,5,26,135000317
2018,6,43,40408946
2018,7,24,383364665
2018,8,2401,5353846228
2019,1,55,3357496270
2019,3,2,1710092355
2019,5,83,419557562
2019,6,61,149080708
2019,7,27,128037261
2019,8,2792,4801465105
2020,0,4,26868
2020,1,77,1542798610
2020,3,4,355799699
2020,5,380,1814181169
2020,6,282,186011231
2020,7,34,226592289
2020,8,3176,4546326698
2021,0,8,3726
2021,1,83,2858918568
2021,3,2,346633177
2021,4,1,92076
2021,5,1290,4629896311
2021,6,1089,270635824
2021,7,34,43282976
2021,8,1903,1847429305
2022,0,69,4197903
2022,1,101,3162258604
2022,2,2,1408816
2022,3,2,1739446222
2022,4,2,2157743
2022,5,2231,5731654985
2022,6,2153,249462148
2022,7,59,62026813
2022,8,548,744588442
2022,9,4,28826012
2023,0,105,10497238
2023,1,118,5906088899
2023,3,1,243099617
2023,4,42,24034833
2023,5,3573,7999640477
2023,6,4153,979811413
2023,7,125,256982327
2023,8,293,222286189
2023,9,2,82442369
2024,0,488,39993299
2024,1,135,5368911115
2024,2,16,40539260
2024,3,1,66738280
2024,4,443,75767297
2024,5,5380,11350473428
2024,6,6039,769188340
2024,7,142,168271755
2024,8,181,119080512
2024,9,8,92619457
2025,0,30978,3402768067
2025,1,258,8008146535
2025,2,4,15356680
2025,3,6,7133369
2025,4,43504,12994801993
2025,5,16174,31616730802
2025,6,18076,2211895996
2025,7,566,218212075
2025,8,161,34539777
2025,9,58,13710285
