video_id,title,channel_name,channel_id,view_count,like_count,comment_count,published_date,thumbnail,year,title_length,title_word_count,title_avg_word_length,title_has_question,title_has_exclamation,title_uppercase_ratio,title_digit_count,title_special_char_count,title_has_numbers,title_has_brackets,publish_year,publish_month,publish_day,publish_hour,publish_dayofweek,is_weekend,is_working_hours,is_prime_time,days_since_publish,months_since_publish,years_since_publish,publish_quarter,is_holiday_season,engagement_rate,like_rate,comment_rate,like_to_comment_ratio,total_interactions,weighted_engagement,engagement_diversity,log_view_count,log_like_count,log_comment_count,log_engagement,is_viral,is_ultra_viral,is_unpopular,channel_avg_views,channel_total_views,channel_video_count,channel_view_std,channel_avg_likes,channel_avg_comments,channel_avg_engagement,channel_consistency_ratio,views_vs_channel_avg,engagement_vs_channel_avg,channel_tier,channel_engagement_rate,video_rank_in_channel,title_length_engagement_factor,long_title_viral,freshness_score,content_maturity_score,channel_fit_score,small_channel_breakout,content_quality_score,publish_timing_score
QwtOeDR-N3g,Why do Human Feet Wash up on This Beach? | Fascinating Horror Shorts,Fascinating Horror,UCFXad0mx4WxY1fXdbvtg0CQ,33955,1817,119,2025-10-03 09:15:02+00:00,https://i.ytimg.com/vi/QwtOeDR-N3g/hqdefault.jpg,2025,68,13,4.3076923076923075,1,0,0.1323529411764706,0,2,0,0,2025,10,3,9,4,0,1,0,7,0,0,4,0,0.057014960537165746,0.053510425256213925,0.00350453528095182,15.141666666666667,1936,0.01850630227353045,0.23098493191538855,10.432820847857858,7.505492274737424,4.787491742782046,7.5688956634069955,0,0,0,33955.0,33955,1,,1817.0,119.0,0.057014960537165746,,0.9999705501236895,0.9999999982460743,1,0.057014960537165746,1.0,3.8770173165272706,0,12.5,1.0934375993429049,0.9999705483698155,0,32.38976540469844,30.0
K0fw1uiSGE0,"Range Rover SV (2025) - The King of the City, the Grand Luxury SUV!",CAR TV,UCs_gcVRMHEx5mVXfQ7icQTg,59659,1130,22,2025-10-08 09:10:46+00:00,https://i.ytimg.com/vi/K0fw1uiSGE0/hqdefault.jpg,2025,67,14,3.857142857142857,0,1,0.1791044776119403,4,5,1,1,2025,10,8,9,2,0,1,0,2,0,0,4,0,0.019309420046932618,0.018940663761314112,0.00036875628561850484,49.130434782608695,1152,0.005940328528327187,0.09450455963040301,10.99641705806874,7.030857476116121,3.1354942159291497,7.050122520269059,0,0,0,59659.0,59659,1,,1130.0,22.0,0.019309420046932618,,0.9999832383506537,0.9999999948211805,1,0.019309420046932618,1.0,1.2937311431444853,0,33.33333333333333,0.10580504135305543,0.9999832331719211,0,31.236488640356136,0.0
StuKQpzfyjI,Bruce Wayne Becomes Batman - NEW Gotham City Ultimate Superhero - Team Superhero - S1 E2,Just4fun290,UCdPG86Ahrf9A8YzBnFDAaEg,8658,89,0,2025-10-04 15:00:06+00:00,https://i.ytimg.com/vi/StuKQpzfyjI/hqdefault.jpg,2025,88,16,4.5625,0,0,0.17045454545454544,2,3,1,0,2025,10,4,15,5,1,0,0,6,0,0,4,0,0.010278323132001386,0.010278323132001386,0.0,89.0,89,0.0030834969396004155,-1.000000082690371e-10,9.066354521447801,4.499809670330265,0.0,4.499809670330265,0,0,0,8658.0,8658,1,,89.0,0.0,0.010278323132001386,,0.9998845132232359,0.9999999902707867,1,0.010278323132001386,1.0,0.904492435616122,0,14.285714285714285,0.1689587364164611,0.9998845034951461,0,27.339625741382857,50.0
C91854vbs8I,How the music of Mario Kart has evolved,Thomas Game Docs,UCyy7dZhgfeMMctSoo3wDXlQ,161045,5391,239,2025-05-08 15:32:15+00:00,https://i.ytimg.com/vi/C91854vbs8I/hqdefault.jpg,2025,39,8,4.0,0,0,0.07692307692307693,0,0,0,0,2025,5,8,15,3,0,1,0,155,5,0,2,0,0.03495895582628566,0.03347490779032078,0.0014840480359648797,22.4625,5630,0.01108130596227165,0.175657303389939,11.98944531744376,8.592671652592143,5.480638923341991,8.636042325254618,0,0,0,161045.0,161045,1,,5391.0,239.0,0.03495895582628566,,0.9999937905939917,0.9999999971395026,1,0.03495895582628566,1.0,1.3633992772251406,0,0.641025641025641,14.845583981025417,0.9999937877335121,0,28.926688457583555,30.0
1DaHVSmx160,My bulldog loves mess... you can see that )))),Enzo English Bulldog,UCkk_2IfQ52OJcCUXOrJBtnw,7620,94,24,2021-08-12 15:33:31+00:00,https://i.ytimg.com/vi/1DaHVSmx160/hqdefault.jpg,2021,46,9,4.222222222222222,0,0,0.021739130434782608,0,7,0,0,2021,8,12,15,3,0,1,0,1520,50,4,3,0,0.015483532344836636,0.012334339325547828,0.0031491930192888073,3.76,118,0.005904736911166514,0.5050659678103169,8.938662873666118,4.553876891600541,3.2188758248682006,4.77912349311153,0,0,0,7620.0,7620,1,,94.0,24.0,0.015483532344836636,,0.9998687836241963,0.9999999935415255,1,0.015483532344836636,1.0,0.7122424878624852,0,0.06574621959237344,64.47936757301832,0.9998687771665692,0,20.24978839912001,30.0
nHJyAIfg1Pw,LYE Musica - Muna Mohammed - Men Negero | መን ነገሮ - New Eritrean Music 2017,54vbz Backstage,UCrz8KdbpIEQelMoP8aeCB7w,106282,843,44,2017-04-18 12:41:17+00:00,https://i.ytimg.com/vi/nHJyAIfg1Pw/hqdefault.jpg,2017,74,16,3.6875,0,0,0.14864864864864866,4,4,1,0,2017,4,18,12,1,0,1,0,3097,103,8,2,0,0.008345643235512734,0.007931654168587638,0.0004139890669250962,18.733333333333334,887,0.0026692885974238588,0.1973517583350951,11.573860626799416,6.738152494595957,3.8066624897703196,6.78897174299217,0,0,0,106282.0,106282,1,,843.0,44.0,0.008345643235512734,,0.9999905911575698,0.9999999880177003,1,0.008345643235512734,1.0,0.6175775994279423,0,0.03227888960619754,70.81221123392586,0.9999905791753828,0,32.35005022848923,0.0
Qn4E_zk69wk,GTA 5 Roleplay - BANK HEIST AND MORE | RedlineRP (CHARITY STREAM),Treyten Live,UCu1lq83POgLJq3x7WwYq7RQ,944743,18869,1994,2020-11-24 19:45:00+00:00,https://i.ytimg.com/vi/Qn4E_zk69wk/hqdefault.jpg,2020,65,12,4.5,0,0,0.5538461538461539,1,4,1,1,2020,11,24,19,1,0,0,1,1781,59,4,4,1,0.02208323101284581,0.019972606335684588,0.0021106246771612205,9.458145363408521,20863,0.00746921917471823,0.3152520365372741,13.75866927030509,9.845328638362595,7.598399329323964,9.94578046472638,0,0,0,944743.0,944743,1,,18869.0,1994.0,0.02208323101284581,,0.999998941512198,0.9999999954716771,1,0.02208323101284581,1.0,1.4354100158349776,0,0.05611672278338946,107.75406694213257,0.9999989369838799,0,35.587404323382955,50.0
lLbdLj9jCaY,Only the Most Observant People Can Crack These Riddles,BRIGHT SIDE,UC4rlAVgAK0SGk-yTfe48Qpw,16438,236,12,2025-10-08 14:01:16+00:00,https://i.ytimg.com/vi/lLbdLj9jCaY/hqdefault.jpg,2025,54,9,5.111111111111111,0,0,0.14814814814814814,0,0,0,0,2025,10,8,14,2,0,1,0,2,0,0,4,0,0.015086075795364681,0.014356104385911552,0.0007299714094531298,18.153846153846153,248,0.004817811302390656,0.19373848070893382,9.707411839509511,5.4680601411351315,2.5649493574615367,5.517452896464707,0,0,0,16438.0,16438,1,,236.0,12.0,0.015086075795364681,,0.9999391690492122,0.999999993371371,1,0.015086075795364681,1.0,0.8146480929496928,0,33.33333333333333,0.08266342901569688,0.9999391624209865,0,22.307900979734335,0.0
5u6zewp3WKQ,Step Inside The Wardrobe Of A Vogue Editor: Nina Miyashita | Vogue Australia,Vogue Australia,UCnTU3MvOqhKclQ6OpnsY87Q,17701,420,13,2025-09-12 06:19:51+00:00,https://i.ytimg.com/vi/5u6zewp3WKQ/hqdefault.jpg,2025,76,13,4.923076923076923,0,0,0.15789473684210525,0,2,0,0,2025,9,12,6,4,0,0,0,29,0,0,3,0,0.024460512936391367,0.023726132640379618,0.0007343802960117501,30.0,433,0.00763190599932211,0.1348224382331738,9.781432906528822,6.042632833682381,2.6390573296152584,6.073044534100405,0,0,0,17701.0,17701,1,,420.0,13.0,0.024460512936391367,,0.9999435092079991,0.9999999959117782,1,0.024460512936391367,1.0,1.8589989831657439,0,3.3333333333333335,1.9434380141242458,0.9999435051200083,0,28.10069750270996,30.0
Ea-1ILHW9qc,a week in my life as a mum of 2 :),Jess Conte,UCXUIoBT9vIZvjwcCphrj8Lw,101846,4433,94,2025-08-25 13:00:33+00:00,https://i.ytimg.com/vi/Ea-1ILHW9qc/hqdefault.jpg,2025,34,11,2.1818181818181817,0,0,0.0,1,2,1,0,2025,8,25,13,0,0,1,0,46,1,0,3,0,0.04444902648089782,0.043526073423861285,0.0009229530570365352,46.66315789473684,4527,0.013703889167083958,0.10099892374176755,11.53122696614014,8.397057390176256,4.553876891600541,8.41803561988302,0,0,0,101846.0,101846,1,,4433.0,94.0,0.04444902648089782,,0.999990181350457,0.999999997750232,1,0.04444902648089782,1.0,1.5112669003505257,0,2.127659574468085,5.601795118140547,0.9999901791007111,0,31.92634499578003,0.0
7uwYrg6DI3g,"ආසියාවේ උසම Burger එක, නොමිලේ කමු ! 🍔🍟",Travel Today,UCEHs7ymn9hxSJMHLlcFLj0w,21575,712,44,2025-08-14 13:30:15+00:00,https://i.ytimg.com/vi/7uwYrg6DI3g/hqdefault.jpg,2025,38,8,3.875,0,1,0.02631578947368421,0,11,0,0,2025,8,14,13,3,0,1,0,57,1,0,3,0,0.035038932146829814,0.03299962921764924,0.002039302929180571,15.822222222222223,756,0.01132740081572117,0.2219887082312126,9.979336864819565,6.569481420414296,3.8066624897703196,6.6293632534374485,0,0,0,21575.0,21575,1,,712.0,44.0,0.035038932146829814,,0.999953652206155,0.9999999971460317,1,0.035038932146829814,1.0,1.331479421579533,0,1.7241379310344827,5.471833239367943,0.9999536493523189,0,24.34786491445645,30.0
AJrYWLBWPrI,Build an AI app that watches videos using Gemini,Google Cloud Tech,UCJS9pqu9BzkAMNTmzNMNhvg,4851,205,20,2025-10-06 16:00:18+00:00,https://i.ytimg.com/vi/AJrYWLBWPrI/hqdefault.jpg,2025,48,9,4.444444444444445,0,0,0.08333333333333333,0,0,0,0,2025,10,6,16,0,0,1,0,4,0,0,4,0,0.04637262984336356,0.04225061830173125,0.004122011541632316,9.761904761904763,225,0.015560593569661996,0.2999595522512935,8.48714627006394,5.327876168789581,3.044522437723423,5.420534999272286,0,0,0,4851.0,4851,1,,205.0,20.0,0.04637262984336356,,0.9997938994229184,0.9999999978435555,1,0.04637262984336356,1.0,2.225886232481451,0,20.0,0.5081932037628882,0.9997938972669184,0,22.92907118981663,0.0
3el5CqY-pl4,he makes it look SO EASY 😮‍💨🤯,Red Bull Bike,UCXqlds5f7B2OOs9vQuevl4A,475857,12099,56,2025-10-02 16:09:34+00:00,https://i.ytimg.com/vi/3el5CqY-pl4/hqdefault.jpg,2025,29,7,3.2857142857142856,0,0,0.20689655172413793,0,4,0,0,2025,10,2,16,3,0,1,0,8,0,0,4,0,0.025543334356047394,0.025425652190359308,0.00011768216568808341,212.26315789473685,12155,0.00771007317308945,0.02938370000563236,13.072874769379764,9.400960731584833,4.04305126783455,9.405578154036684,0,0,0,475857.0,475857,1,,12099.0,56.0,0.025543334356047394,,0.9999978985327556,0.9999999960850843,1,0.025543334356047394,1.0,0.7407566963253744,0,11.11111111111111,0.5598539036941895,0.999997894617848,0,29.42184241688165,30.0
3E-ZL1N9Vw8,Sonic The Hedgehog Meets SpongeBob,shadow759,UC_ZuxbJkWhQapfsfsgCPSZw,15683,792,121,2025-06-04 03:44:40+00:00,https://i.ytimg.com/vi/3E-ZL1N9Vw8/hqdefault.jpg,2025,34,5,6.0,0,0,0.17647058823529413,0,0,0,0,2025,6,4,3,2,0,0,0,129,4,0,2,0,0.05821219076766131,0.0504973221117062,0.007714868655955114,6.491803278688525,913,0.020549604692680436,0.3911682151877056,9.660396363412222,6.675823221634848,4.804021044733257,6.81783057145415,0,0,0,15683.0,15683,1,,792.0,121.0,0.05821219076766131,,0.9999362407549095,0.9999999982821467,1,0.05821219076766131,1.0,1.9792144861004846,0,0.7692307692307693,20.57362358637893,0.9999362390371658,0,22.125963626174112,0.0
EIKnBXpjXx8,"TVS Ntorq 150 Base Model, On Road Price, Mileage, Exhaust Sound, Features",Area of Interest,UCCDy9fZB5gaIYcTriUu8xhQ,26625,356,66,2025-10-02 07:33:23+00:00,https://i.ytimg.com/vi/EIKnBXpjXx8/hqdefault.jpg,2025,73,12,5.166666666666667,0,0,0.1780821917808219,3,4,1,0,2025,10,2,7,3,0,0,0,8,0,0,4,0,0.015849169984225944,0.013370389844512881,0.0024787801397130626,5.313432835820896,422,0.005746263051153009,0.4336485528003082,10.189643460991862,5.877735781779639,4.204692619390966,6.0473721790462776,0,0,0,26625.0,26625,1,,356.0,66.0,0.015849169984225944,,0.9999624427251559,0.9999999936905213,1,0.015849169984225944,1.0,1.1569894088484938,0,11.11111111111111,0.3473790681474179,0.9999624364159141,0,26.416340015193057,30.0
j8IZt7oDQns,Oddly Satisfying: Bubbles Inside a Bubble! 🫧👀 #shorts #bubbles,Stunning Videos 4K,UCz_BN56YLjKqZSRJ2sSqPEQ,30849,0,6,2025-06-03 13:04:57+00:00,https://i.ytimg.com/vi/j8IZt7oDQns/hqdefault.jpg,2025,62,9,6.0,0,1,0.08064516129032258,0,6,0,0,2025,6,3,13,1,0,1,0,129,4,0,2,0,0.00019448946515397082,0.0,0.00019448946515397082,0.0,6,0.00013614262560777957,-1.000000082690371e-10,10.336892029333534,0.0,1.9459101490553132,1.9459101490553132,0,0,0,30849.0,30849,1,,0.0,6.0,0.00019448946515397082,,0.999967585089141,0.9999994858335977,1,0.00019448946515397082,1.0,0.01205834683954619,0,0.7692307692307693,0.06873737261606092,0.9999670709394053,0,9.479518894480936,0.0
sKTfxocCBLQ,CRIMINAL (OFFICIAL VIDEO) SINGGA X CREW 47,Singga,UCQ8mTbckLOxjjoYbZ3N1O7g,1430184,17479,1200,2025-09-27 03:30:08+00:00,https://i.ytimg.com/vi/sKTfxocCBLQ/hqdefault.jpg,2025,42,7,5.142857142857143,0,0,0.7619047619047619,2,2,1,1,2025,9,27,3,5,1,0,0,14,0,0,3,0,0.013060548110908728,0.012221495820470779,0.0008390522904379503,14.553705245628644,18679,0.004253785349447798,0.2384868046123205,14.173314364497802,9.768812649209526,7.0909098220799835,9.835208711782833,0,0,0,1430184.0,1430184,1,,17479.0,1200.0,0.013060548110908728,,0.999999300789758,0.9999999923433536,1,0.013060548110908728,1.0,0.5485430206581666,0,6.666666666666667,0.5009525302814307,0.9999992931331169,0,29.88030650656163,50.0
